FECHA,AÑO,PERIODO,EMPRESA,DEPARTAMENTO,ESTRATO,TARIFA
Feb-26,2026,2,CELSIA COLOMBIA Valle,Valle del Cauca,"5 y 6, Ind y Com",984.65
* Pesos corrientes,,,CELSIA COLOMBIA Valle,Valle del Cauca,"5 y 6, Ind y Com",0.03193317822633049
Mar-25,2025,3,CELSIA COLOMBIA Tolima,Tolima,1,436.17
Abr-25**,2025,4,CELSIA COLOMBIA Tolima,Tolima,1,438.47
May-25,2025,5,CELSIA COLOMBIA Tolima,Tolima,1,441.36
Jun-25**,2025,6,CELSIA COLOMBIA Tolima,Tolima,1,442.78
Jul-25,2025,7,CELSIA COLOMBIA Tolima,Tolima,1,443.25
Ago-25,2025,8,CELSIA COLOMBIA Tolima,Tolima,1,444.46
Sep-25,2025,9,CELSIA COLOMBIA Tolima,Tolima,1,445.29
Oct-25,2025,10,CELSIA COLOMBIA Tolima,Tolima,1,446.74
Nov-25,2025,11,CELSIA COLOMBIA Tolima,Tolima,1,447.57
Dic-25,2025,12,CELSIA COLOMBIA Tolima,Tolima,1,447.89
Ene-26,2026,1,CELSIA COLOMBIA Tolima,Tolima,1,449.07
Feb-26,2026,2,CELSIA COLOMBIA Tolima,Tolima,1,454.38
* Pesos corrientes,,,CELSIA COLOMBIA Tolima,Tolima,1,0.011824437170151652
Mar-25,2025,3,CELSIA COLOMBIA Tolima,Tolima,2,545.21
Abr-25**,2025,4,CELSIA COLOMBIA Tolima,Tolima,2,548.09
May-25,2025,5,CELSIA COLOMBIA Tolima,Tolima,2,551.7
Jun-25**,2025,6,CELSIA COLOMBIA Tolima,Tolima,2,553.47
Jul-25,2025,7,CELSIA COLOMBIA Tolima,Tolima,2,554.06
Ago-25,2025,8,CELSIA COLOMBIA Tolima,Tolima,2,555.57
Sep-25,2025,9,CELSIA COLOMBIA Tolima,Tolima,2,556.6
Oct-25,2025,10,CELSIA COLOMBIA Tolima,Tolima,2,558.41
Nov-25,2025,11,CELSIA COLOMBIA Tolima,Tolima,2,559.44
Dic-25,2025,12,CELSIA COLOMBIA Tolima,Tolima,2,559.85
Ene-26,2026,1,CELSIA COLOMBIA Tolima,Tolima,2,561.32
Feb-26,2026,2,CELSIA COLOMBIA Tolima,Tolima,2,567.96
* Pesos corrientes,,,CELSIA COLOMBIA Tolima,Tolima,2,0.011829259602365827
Mar-25,2025,3,CELSIA COLOMBIA Tolima,Tolima,3,926.86
Abr-25**,2025,4,CELSIA COLOMBIA Tolima,Tolima,3,827.71
May-25,2025,5,CELSIA COLOMBIA Tolima,Tolima,3,808.07
Jun-25**,2025,6,CELSIA COLOMBIA Tolima,Tolima,3,823.64
Jul-25,2025,7,CELSIA COLOMBIA Tolima,Tolima,3,793.74
Ago-25,2025,8,CELSIA COLOMBIA Tolima,Tolima,3,736.61
Sep-25,2025,9,CELSIA COLOMBIA Tolima,Tolima,3,802.38
Oct-25,2025,10,CELSIA COLOMBIA Tolima,Tolima,3,817.95
Nov-25,2025,11,CELSIA COLOMBIA Tolima,Tolima,3,772.83
Dic-25,2025,12,CELSIA COLOMBIA Tolima,Tolima,3,776.85
Ene-26,2026,1,CELSIA COLOMBIA Tolima,Tolima,3,775.95
Feb-26,2026,2,CELSIA COLOMBIA Tolima,Tolima,3,796.55
* Pesos corrientes,,,CELSIA COLOMBIA Tolima,Tolima,3,0.02654810232618069
Mar-25,2025,3,CELSIA COLOMBIA Tolima,Tolima,4,1090.42
Abr-25**,2025,4,CELSIA COLOMBIA Tolima,Tolima,4,973.78
May-25,2025,5,CELSIA COLOMBIA Tolima,Tolima,4,950.67
Jun-25**,2025,6,CELSIA COLOMBIA Tolima,Tolima,4,968.99
